fold,check/all,raise half,raise full,all in,steps
0.19474196689386564,0.15579357351509251,0.008763388510223954,0.0,0.6407010710808179,2048
0.18705035971223022,0.20953237410071943,0.040467625899280574,0.0,0.5629496402877698,4096
0.18315018315018314,0.17765567765567766,0.057692307692307696,0.0,0.5815018315018315,6144
0.17567567567567569,0.0841995841995842,0.006237006237006237,0.0,0.7338877338877339,8192
0.16972972972972972,0.036756756756756756,0.006486486486486486,0.0,0.787027027027027,10240
0.008560311284046693,0.5392996108949416,0.007003891050583658,0.0007782101167315176,0.4443579766536965,12288
0.00532724505327245,0.5677321156773212,0.00076103500761035,0.0,0.426179604261796,14336
0.00397456279809221,0.5333863275039745,0.000794912559618442,0.0,0.46184419713831476,16384
0.0,0.70795892169448,0.0006418485237483953,0.0006418485237483953,0.2907573812580231,18432
0.0006035003017501509,0.7471333735666867,0.004224502112251056,0.0,0.248038624019312,20480
0.001256281407035176,0.7248743718592965,0.001256281407035176,0.0,0.27261306532663315,22528
0.005016722408026756,0.8054626532887402,0.0016722408026755853,0.0,0.1878483835005574,24576
0.011058451816745656,0.8304370721432333,0.004739336492890996,0.0052659294365455505,0.1484992101105845,26624
0.013185654008438819,0.8159282700421941,0.013185654008438819,0.006856540084388186,0.15084388185654007,28672
0.014285714285714285,0.8185185185185185,0.01216931216931217,0.0021164021164021165,0.1529100529100529,30720
0.01855176540993417,0.7348892878515859,0.023937761819269897,0.0005984440454817474,0.2220227408737283,32768
