fold,check/all,raise half,raise full,all in,steps
0.024798512089274645,0.4203347799132052,0.04773713577185369,0.0012399256044637321,0.5058896466212027,2048
0.027190332326283987,0.44410876132930516,0.14400805639476336,0.0015105740181268882,0.38318227593152066,4096
0.01309328968903437,0.3971631205673759,0.14457174031642117,0.0038188761593016913,0.4413529732678669,6144
0.016504126031507877,0.2663165791447862,0.030007501875468866,0.003000750187546887,0.6841710427606902,8192
0.008802816901408451,0.10827464788732394,0.02640845070422535,0.0,0.8565140845070423,10240
0.031202046035805626,0.5560102301790282,0.037851662404092073,0.004603580562659846,0.3703324808184143,12288
0.028052805280528052,0.5297029702970297,0.0165016501650165,0.0033003300330033004,0.42244224422442245,14336
0.01466275659824047,0.49032258064516127,0.011730205278592375,0.002932551319648094,0.48035190615835777,16384
0.008746355685131196,0.6248785228377065,0.011175898931000973,0.0024295432458697765,0.35276967930029157,18432
0.012351124834583149,0.6749007498897222,0.01808557565063961,0.0030877812086457872,0.29157476841640934,20480
0.015525114155251141,0.6538812785388128,0.015068493150684932,0.0013698630136986301,0.3141552511415525,22528
0.02269170579029734,0.7323943661971831,0.02464788732394366,0.0035211267605633804,0.2167449139280125,24576
0.05701254275940707,0.7194982896237172,0.029646522234891677,0.015583428354237932,0.1782592170277461,26624
0.06200631911532385,0.6631121642969984,0.06951026856240126,0.016192733017377565,0.1891785150078989,28672
0.06334492081884897,0.6952491309385863,0.058323677095403634,0.006179992275009656,0.1769022788721514,30720
0.07440860215053763,0.6133333333333333,0.08516129032258064,0.0025806451612903226,0.22451612903225807,32768
