fold,check/all,raise half,raise full,all in,steps
1.0,0.0,0.0,0.0,0.0,2048
0.0,0.94575,0.05425,0.0,0.0,4096
0.0,1.0,0.0,0.0,0.0,6144
0.04511472028873421,0.7661768497035318,0.18793503480278423,0.0,0.0007733952049497294,8192
0.43704474505723206,0.5468262226847035,0.013527575442247659,0.0,0.0026014568158168575,10240
0.4473883421650265,0.1794095382286147,0.000757002271006813,0.07721423164269493,0.2952308856926571,12288
0.2987390882638215,0.03200775945683802,0.0,0.0,0.6692531522793405,14336
0.603755868544601,0.04037558685446009,0.003755868544600939,0.016901408450704224,0.3352112676056338,16384
0.38626609442060084,0.002861230329041488,0.0,0.28183118741058655,0.3290414878397711,18432
0.6787479406919276,0.04365733113673806,0.0,0.13344316309719934,0.1441515650741351,20480
0.5029585798816568,0.006903353057199211,0.0009861932938856016,0.005917159763313609,0.4832347140039448,22528
0.7859778597785978,0.03782287822878229,0.0009225092250922509,0.03966789667896679,0.13560885608856088,24576
0.8012976480129764,0.0,0.0,0.18896999188969993,0.009732360097323601,26624
0.9591439688715954,0.02529182879377432,0.0,0.0029182879377431907,0.01264591439688716,28672
0.942507068803016,0.006597549481621112,0.001885014137606032,0.049010367577756835,0.0,30720
0.8865248226950354,0.0,0.007978723404255319,0.10549645390070922,0.0,32768
