fold,check/all,raise half,raise full,all in,steps
1.0,0.0,0.0,0.0,0.0,2048
0.0,0.812732534105002,0.18726746589499793,0.0,0.0,4096
0.0,1.0,0.0,0.0,0.0,6144
0.05777979981801638,0.6951774340309372,0.2470427661510464,0.0,0.0,8192
0.27432517263025735,0.6296296296296297,0.096045197740113,0.0,0.0,10240
0.2254980079681275,0.4358565737051793,0.0,0.07649402390438247,0.2621513944223108,12288
0.11987041036717062,0.20626349892008639,0.0,0.0,0.673866090712743,14336
0.28638059701492535,0.24440298507462688,0.14085820895522388,0.016791044776119403,0.31156716417910446,16384
0.12905844155844157,0.20454545454545456,0.0,0.3522727272727273,0.31412337662337664,18432
0.3842150910667823,0.25065047701647875,0.0017346053772766695,0.20381613183000868,0.1595836947094536,20480
0.23773987206823027,0.17697228144989338,0.042643923240938165,0.006396588486140725,0.5362473347547975,22528
0.5644171779141104,0.22597137014314927,0.002044989775051125,0.05214723926380368,0.1554192229038855,24576
0.49489795918367346,0.1870748299319728,0.03231292517006803,0.27465986394557823,0.011054421768707483,26624
0.7891304347826087,0.19021739130434784,0.004347826086956522,0.003260869565217391,0.013043478260869565,28672
0.7526205450733753,0.1740041928721174,0.015723270440251572,0.057651991614255764,0.0,30720
0.6026241799437676,0.1836925960637301,0.09840674789128398,0.11527647610121837,0.0,32768
