fold,check/all,raise half,raise full,all in,steps
0.922211808809747,0.07778819119025304,0.0,0.0,0.0,2048
0.998003992015968,0.0,0.001996007984031936,0.0,0.0,4096
0.3605065294815987,0.0664819944598338,0.555599525128611,0.0,0.01741195092995647,6144
0.1995182657567242,0.0024086712163789645,0.6222400642312325,0.0,0.17583299879566439,8192
0.4713740458015267,0.02719465648854962,0.44322519083969464,0.05486641221374046,0.0033396946564885495,10240
0.60790273556231,0.0,0.046200607902735565,0.3458966565349544,0.0,12288
0.2873993095512083,0.0,0.00431530494821634,0.7082853855005754,0.0,14336
0.29222357229647633,0.002430133657351154,0.5504252733900364,0.14580801944106925,0.009113001215066828,16384
0.44752385279418444,0.09268514311676511,0.328032712403453,0.12494320763289414,0.0068150840527033164,18432
0.3108841366102777,0.12033195020746888,0.5330354293009895,0.03574848388126396,0.0,20480
0.22164808267609465,0.13679630133260812,0.6410116943160185,0.0005439216752787598,0.0,22528
0.20069854916711447,0.130843632455669,0.6679204728640515,0.0005373455131649651,0.0,24576
0.11214017521902378,0.1246558197747184,0.7632040050062578,0.0,0.0,26624
0.06,0.1245,0.8155,0.0,0.0,28672
0.06525,0.11875,0.81025,0.00575,0.0,30720
0.0015,0.07375,0.82175,0.103,0.0,32768
