fold,check/all,raise half,raise full,all in,steps
0.1326579835986493,0.8673420164013507,0.0,0.0,0.0,2048
0.8122270742358079,0.18777292576419213,0.0,0.0,0.0,4096
0.11849020544672718,0.8690874343048256,0.011944577161968466,0.0,0.00047778308647873863,6144
0.9630872483221476,0.03691275167785235,0.0,0.0,0.0,8192
0.8268156424581006,0.15865921787709497,0.0011173184357541898,0.0,0.013407821229050279,10240
1.0,0.0,0.0,0.0,0.0,12288
0.8389261744966443,0.15883668903803133,0.0,0.0,0.0022371364653243847,14336
0.8322147651006712,0.15883668903803133,0.0,0.0,0.008948545861297539,16384
1.0,0.0,0.0,0.0,0.0,18432
0.9988814317673378,0.0,0.0,0.0,0.0011185682326621924,20480
0.9988814317673378,0.0,0.0,0.0,0.0011185682326621924,22528
1.0,0.0,0.0,0.0,0.0,24576
1.0,0.0,0.0,0.0,0.0,26624
0.9966442953020134,0.0,0.0,0.0,0.003355704697986577,28672
0.9988814317673378,0.0,0.0,0.0,0.0011185682326621924,30720
0.9955257270693513,0.0,0.0,0.0,0.0044742729306487695,32768
